Location_idx,Location,Unnamed: 2
18884,"59.336542871698114, 18.008302126865672",
18885,"59.336632637735846, 18.008302126865672",
18886,"59.336722403773585, 18.008302126865672",
18887,"59.336812169811324, 18.008302126865672",
18959,"59.30485546037736, 18.00847805783582",
19146,"59.333670358490565, 18.00847805783582",
19147,"59.333760124528304, 18.00847805783582",
19148,"59.333849890566036, 18.00847805783582",
19149,"59.333939656603775, 18.00847805783582",
19155,"59.33447825283019, 18.00847805783582",
19156,"59.33456801886793, 18.00847805783582",
19157,"59.33465778490566, 18.00847805783582",
19164,"59.33528614716981, 18.00847805783582",
19165,"59.33537591320755, 18.00847805783582",
19166,"59.33546567924528, 18.00847805783582",
19167,"59.33555544528302, 18.00847805783582",
19168,"59.33564521132075, 18.00847805783582",
19169,"59.33573497735849, 18.00847805783582",
19170,"59.33582474339622, 18.00847805783582",
19171,"59.33591450943396, 18.00847805783582",
19172,"59.3360042754717, 18.00847805783582",
19173,"59.33609404150943, 18.00847805783582",
19174,"59.33618380754717, 18.00847805783582",
19175,"59.336273573584904, 18.00847805783582",
19176,"59.33636333962264, 18.00847805783582",
19177,"59.336453105660375, 18.00847805783582",
19178,"59.336542871698114, 18.00847805783582",
19179,"59.336632637735846, 18.00847805783582",
19180,"59.336722403773585, 18.00847805783582",
19181,"59.336812169811324, 18.00847805783582",
19465,"59.33573497735849, 18.008653988805968",
19466,"59.33582474339622, 18.008653988805968",
19467,"59.33591450943396, 18.008653988805968",
19468,"59.3360042754717, 18.008653988805968",
19469,"59.33609404150943, 18.008653988805968",
19470,"59.33618380754717, 18.008653988805968",
19471,"59.336273573584904, 18.008653988805968",
19472,"59.33636333962264, 18.008653988805968",
19473,"59.336453105660375, 18.008653988805968",
19474,"59.336542871698114, 18.008653988805968",
19475,"59.336632637735846, 18.008653988805968",
19476,"59.336722403773585, 18.008653988805968",
